Date,model,variant,Revenue_actual,COGS_actual,Revenue_pred,COGS_pred,Revenue_error,Revenue_abs_error,COGS_error,COGS_abs_error
2022-01-01,residual_meta,huber_base_forecasts_cal2022,2932155.47,3019583.5,2534542.7367617935,2458116.680670617,-397612.7332382067,397612.7332382067,-561466.8193293829,561466.8193293829
2022-01-02,residual_meta,huber_base_forecasts_cal2022,2361965.0,2368851.11,1561095.7367583388,1375752.498662584,-800869.2632416612,800869.2632416612,-993098.6113374159,993098.6113374159
2022-01-03,residual_meta,huber_base_forecasts_cal2022,545563.72,476501.31,1387987.4873086605,1174651.975364889,842423.7673086606,842423.7673086606,698150.665364889,698150.665364889
2022-01-04,residual_meta,huber_base_forecasts_cal2022,1242319.38,1057834.07,1318555.659979836,1085422.9327904703,76236.2799798362,76236.2799798362,27588.862790470244,27588.862790470244
2022-01-05,residual_meta,huber_base_forecasts_cal2022,809977.6,684605.3,1317135.5563556615,1062257.9019003566,507157.9563556615,507157.9563556615,377652.6019003566,377652.6019003566
2022-01-06,residual_meta,huber_base_forecasts_cal2022,993048.62,827696.4,1340196.9430077379,1077988.3389419883,347148.32300773787,347148.32300773787,250291.93894198828,250291.93894198828
2022-01-07,residual_meta,huber_base_forecasts_cal2022,1294963.64,1109631.82,1352504.7159338389,1091439.8390828928,57541.07593383896,57541.07593383896,-18191.980917107314,18191.980917107314
2022-01-08,residual_meta,huber_base_forecasts_cal2022,1641747.05,1369252.03,1563372.341900784,1261014.6706984127,-78374.70809921599,78374.70809921599,-108237.35930158733,108237.35930158733
2022-01-09,residual_meta,huber_base_forecasts_cal2022,1706485.37,1491356.56,1681909.0201329086,1366854.7115181233,-24576.349867091514,24576.349867091514,-124501.84848187678,124501.84848187678
2022-01-10,residual_meta,huber_base_forecasts_cal2022,2569113.21,2158709.88,1706081.9022805593,1372821.1688596674,-863031.3077194407,863031.3077194407,-785888.7111403325,785888.7111403325
2022-01-11,residual_meta,huber_base_forecasts_cal2022,1640806.35,1336967.26,1735700.3975655234,1397630.6481220503,94894.0475655233,94894.0475655233,60663.388122050324,60663.388122050324
2022-01-12,residual_meta,huber_base_forecasts_cal2022,1775526.5,1506945.6,1672075.4412510688,1349511.8299259683,-103451.05874893116,103451.05874893116,-157433.77007403178,157433.77007403178
2022-01-13,residual_meta,huber_base_forecasts_cal2022,1173172.99,946254.56,1869302.9149402962,1532761.9784490939,696129.9249402962,696129.9249402962,586507.4184490938,586507.4184490938
2022-01-14,residual_meta,huber_base_forecasts_cal2022,1548726.82,1300219.1,1661437.1222506692,1343312.3404793802,112710.3022506691,112710.3022506691,43093.240479380125,43093.240479380125
2022-01-15,residual_meta,huber_base_forecasts_cal2022,1461990.71,1263054.33,1716412.6524618578,1396933.2586614534,254421.9424618578,254421.9424618578,133878.9286614533,133878.9286614533
2022-01-16,residual_meta,huber_base_forecasts_cal2022,2064339.13,1781850.02,1945319.4358278043,1568164.0558182057,-119019.69417219562,119019.69417219562,-213685.96418179432,213685.96418179432
2022-01-17,residual_meta,huber_base_forecasts_cal2022,1621773.2,1340632.16,2118624.4391949633,1713589.8356409075,496851.23919496336,496851.23919496336,372957.6756409076,372957.6756409076
2022-01-18,residual_meta,huber_base_forecasts_cal2022,1861205.18,1606509.55,1927429.8181745629,1541610.6011666288,66224.63817456295,66224.63817456295,-64898.94883337128,64898.94883337128
2022-01-19,residual_meta,huber_base_forecasts_cal2022,2020862.53,1738187.82,1786959.2319303344,1441770.5266323546,-233903.29806966567,233903.29806966567,-296417.29336764547,296417.29336764547
2022-01-20,residual_meta,huber_base_forecasts_cal2022,1249233.56,1043117.49,1990221.0065572052,1595810.9378394664,740987.4465572052,740987.4465572052,552693.4478394664,552693.4478394664
2022-01-21,residual_meta,huber_base_forecasts_cal2022,1580948.85,1245282.02,1909864.0177784935,1534825.9513283574,328915.16777849337,328915.16777849337,289543.93132835743,289543.93132835743
2022-01-22,residual_meta,huber_base_forecasts_cal2022,1758593.8,1468639.94,1927318.1361237816,1577181.2307085255,168724.3361237815,168724.3361237815,108541.29070852557,108541.29070852557
2022-01-23,residual_meta,huber_base_forecasts_cal2022,1785338.17,1512426.38,2113128.704847759,1711898.1858672174,327790.5348477592,327790.5348477592,199471.80586721748,199471.80586721748
2022-01-24,residual_meta,huber_base_forecasts_cal2022,1915906.28,1601822.71,2254983.974306554,1840781.63357307,339077.69430655404,339077.69430655404,238958.92357306997,238958.92357306997
2022-01-25,residual_meta,huber_base_forecasts_cal2022,2471179.3,1957064.07,2170260.3047683444,1766077.6618172275,-300918.9952316554,300918.9952316554,-190986.40818277257,190986.40818277257
2022-01-26,residual_meta,huber_base_forecasts_cal2022,2278973.82,1903209.07,2417811.191712493,1955991.2582713387,138837.37171249324,138837.37171249324,52782.188271338586,52782.188271338586
2022-01-27,residual_meta,huber_base_forecasts_cal2022,1604489.99,1290075.13,2790208.4177151513,2256932.543475166,1185718.4277151513,1185718.4277151513,966857.4134751661,966857.4134751661
2022-01-28,residual_meta,huber_base_forecasts_cal2022,2792317.48,2306948.5,3010127.3749771174,2442846.202375329,217809.89497711742,217809.89497711742,135897.7023753291,135897.7023753291
2022-01-29,residual_meta,huber_base_forecasts_cal2022,3897632.5,3247780.03,3233954.7302186145,2627788.0051711053,-663677.7697813855,663677.7697813855,-619992.0248288945,619992.0248288945
2022-01-30,residual_meta,huber_base_forecasts_cal2022,3903300.55,3262713.48,3259724.694400879,2680171.515068433,-643575.8555991207,643575.8555991207,-582541.9649315672,582541.9649315672
2022-01-31,residual_meta,huber_base_forecasts_cal2022,3159829.55,2627738.4,2997944.1946225544,2465631.3425441612,-161885.35537744546,161885.35537744546,-162107.05745583866,162107.05745583866
2022-02-01,residual_meta,huber_base_forecasts_cal2022,3672475.88,3092119.13,2504115.225289327,2032761.3259451417,-1168360.6547106728,1168360.6547106728,-1059357.8040548582,1059357.8040548582
