Date,model,variant,Revenue_actual,COGS_actual,Revenue_pred,COGS_pred,Revenue_error,Revenue_abs_error,COGS_error,COGS_abs_error
2022-01-01,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,2932155.47,3019583.5,2484560.4644431854,2437627.6281763855,-447595.00555681484,447595.00555681484,-581955.8718236145,581955.8718236145
2022-01-02,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,2361965.0,2368851.11,1447616.0929067899,1309267.1302176877,-914348.9070932101,914348.9070932101,-1059583.9797823122,1059583.9797823122
2022-01-03,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,545563.72,476501.31,1260102.6066076371,1091630.0085169422,714538.8866076372,714538.8866076372,615128.6985169421,615128.6985169421
2022-01-04,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1242319.38,1057834.07,1183443.875414414,995042.2792905556,-58875.50458558579,58875.50458558579,-62791.79070944444,62791.79070944444
2022-01-05,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,809977.6,684605.3,1178567.172687788,962382.0355643019,368589.57268778805,368589.57268778805,277776.73556430184,277776.73556430184
2022-01-06,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,993048.62,827696.4,1202570.8341519984,976257.4274565303,209522.2141519984,209522.2141519984,148561.02745653025,148561.02745653025
2022-01-07,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1294963.64,1109631.82,1217328.6660271978,993158.7675736768,-77634.97397280205,77634.97397280205,-116473.0524263233,116473.0524263233
2022-01-08,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1641747.05,1369252.03,1443848.0650352377,1171491.9773622355,-197898.98496476235,197898.98496476235,-197760.0526377645,197760.0526377645
2022-01-09,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1706485.37,1491356.56,1570685.7053719163,1283695.1248885621,-135799.66462808382,135799.66462808382,-207661.43511143792,207661.43511143792
2022-01-10,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,2569113.21,2158709.88,1597697.1935497387,1291991.3087382764,-971416.0164502612,971416.0164502612,-866718.5712617235,866718.5712617235
2022-01-11,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1640806.35,1336967.26,1626448.667328663,1313868.2886460947,-14357.682671337156,14357.682671337156,-23098.971353905275,23098.971353905275
2022-01-12,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1775526.5,1506945.6,1559098.5093481154,1263875.8566735603,-216427.99065188458,216427.99065188458,-243069.74332643976,243069.74332643976
2022-01-13,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1173172.99,946254.56,1769810.168118205,1454942.2249165585,596637.1781182049,596637.1781182049,508687.6649165584,508687.6649165584
2022-01-14,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1548726.82,1300219.1,1548746.6915500609,1260156.7051168606,19.87155006080866,19.87155006080866,-40062.394883139525,40062.394883139525
2022-01-15,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1461990.71,1263054.33,1608449.5861315052,1316885.1690337856,146458.87613150524,146458.87613150524,53830.83903378551,53830.83903378551
2022-01-16,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,2064339.13,1781850.02,1853292.2045664762,1496811.9293474737,-211046.92543352372,211046.92543352372,-285038.09065252636,285038.09065252636
2022-01-17,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1621773.2,1340632.16,2040471.0336413023,1652029.9968860338,418697.8336413023,418697.8336413023,311397.8368860339,311397.8368860339
2022-01-18,calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,1861205.18,1606509.55,1833180.5194211616,1467602.8256276739,-28024.660578838317,28024.660578838317,-138906.72437232616,138906.72437232616
